GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BadIceCream,badIceCream.viewer.menu,InstructionsMenuSecondPageViewer,439,0,0,0,65,0,4,0,4,0
BadIceCream,badIceCream.viewer.menu,InstructionsMenuFirstPageViewer,527,0,0,0,75,0,4,0,4,0
BadIceCream,badIceCream.viewer.menu,GameOverMenuViewer,491,0,4,0,71,0,6,0,4,0
BadIceCream,badIceCream.viewer.menu,SelectLevelMenuViewer,626,0,4,0,86,0,6,0,4,0
BadIceCream,badIceCream.viewer.menu,MainMenuViewer,575,4,4,0,85,2,5,1,3,1
BadIceCream,badIceCream.viewer.menu,LevelCompletedMenuViewer,513,0,4,0,75,0,6,0,4,0
BadIceCream,badIceCream.viewer.menu,PauseMenuViewer,572,0,4,0,86,0,7,0,5,0
BadIceCream,badIceCream.GUI,GameGraphics,67,0,0,0,13,0,2,0,2,0
BadIceCream,badIceCream.GUI,GUI.ACTION,0,51,0,0,0,1,0,1,0,1
BadIceCream,badIceCream.GUI,MenuGraphics,9,58,0,0,3,10,0,2,0,2
BadIceCream,badIceCream.GUI,GUI,0,18,0,0,0,6,0,2,0,2
BadIceCream,badIceCream.GUI,Graphics,715,12,89,0,163,4,90,1,22,1
BadIceCream,badIceCream.model.menu,MainMenu,12,18,0,0,3,2,3,1,3,1
BadIceCream,badIceCream.model.menu,InstructionsMenuFirstPage,5,0,0,0,2,0,1,0,1,0
BadIceCream,badIceCream.model.menu,LevelCompletedMenu,22,0,0,0,4,0,3,0,3,0
BadIceCream,badIceCream.model.menu,GameOverMenu,22,0,0,0,4,0,3,0,3,0
BadIceCream,badIceCream.model.menu,SelectLevelMenu,46,0,0,0,7,0,6,0,6,0
BadIceCream,badIceCream.model.menu,PauseMenu,22,0,0,0,4,0,3,0,3,0
BadIceCream,badIceCream.model.menu,Menu,53,9,6,0,11,4,8,1,5,1
BadIceCream,badIceCream.model.menu,InstructionsMenuSecondPage,5,0,0,0,2,0,1,0,1,0
BadIceCream,badIceCream,Game,189,23,18,0,74,5,20,1,9,1
BadIceCream,badIceCream.controller.menu,LevelCompletedMenuController,66,0,8,0,13,0,7,0,2,0
BadIceCream,badIceCream.controller.menu,GameOverMenuController,66,0,8,0,13,0,7,0,2,0
BadIceCream,badIceCream.controller.menu,InstructionsMenuSecondPageController,40,0,4,0,6,0,4,0,2,0
BadIceCream,badIceCream.controller.menu,MainMenuController,65,4,10,0,10,2,7,1,1,1
BadIceCream,badIceCream.controller.menu,InstructionsMenuFirstPageController,40,0,4,0,7,0,4,0,2,0
BadIceCream,badIceCream.controller.menu,PauseMenuController,62,0,8,0,12,0,7,0,2,0
BadIceCream,badIceCream.controller.menu,MenuController,0,4,0,0,0,2,0,1,0,1
BadIceCream,badIceCream.controller.menu,SelectLevelMenuController,165,0,22,0,23,0,14,0,2,0
BadIceCream,badIceCream.controller,TestController,0,6,0,0,0,4,0,3,0,3
BadIceCream,badIceCream.controller,Controller,1,9,0,0,1,4,1,2,1,2
BadIceCream,badIceCream.controller.game,MonsterController,97,0,8,0,23,0,6,0,2,0
BadIceCream,badIceCream.controller.game,GameController,0,4,0,0,0,2,0,1,0,1
BadIceCream,badIceCream.controller.game,IceCreamController,139,0,18,0,28,0,18,0,9,0
BadIceCream,badIceCream.controller.game,ArenaController,138,87,16,11,19,20,12,6,0,3
BadIceCream,badIceCream.model,Position,107,0,8,0,16,0,15,0,11,0
BadIceCream,badIceCream.audio,Audio,18,61,3,3,6,19,3,5,0,5
BadIceCream,badIceCream.audio,AudioController,101,48,13,9,34,28,13,10,2,10
BadIceCream,badIceCream.viewer,Viewer,11,6,0,0,5,3,2,1,2,1
BadIceCream,badIceCream.viewer,FruitViewer,30,0,6,0,12,0,7,0,2,0
BadIceCream,badIceCream.viewer,WallViewer,16,0,3,0,6,0,4,0,2,0
BadIceCream,badIceCream.viewer,MonsterViewer,35,0,5,0,10,0,6,0,2,0
BadIceCream,badIceCream.viewer,HotFloorViewer,9,0,0,0,3,0,2,0,2,0
BadIceCream,badIceCream.viewer,ArenaViewer,496,0,67,0,118,0,48,0,2,0
BadIceCream,badIceCream.viewer,IceCreamViewer,12,0,0,0,3,0,2,0,2,0
BadIceCream,badIceCream.model.game.elements,Wall,5,0,0,0,2,0,1,0,1,0
BadIceCream,badIceCream.model.game.elements,IceCream,42,0,2,0,15,0,9,0,8,0
BadIceCream,badIceCream.model.game.elements,IceWall,7,0,0,0,3,0,2,0,2,0
BadIceCream,badIceCream.model.game.elements,StoneWall,7,0,0,0,3,0,2,0,2,0
BadIceCream,badIceCream.model.game.elements,HotFloor,7,0,0,0,3,0,2,0,2,0
BadIceCream,badIceCream.model.game.elements,Element,17,0,0,0,6,0,3,0,3,0
BadIceCream,badIceCream.controller.game.monsters,RunnerMovementEnabled,150,0,22,0,29,0,17,0,6,0
